codigo,nome,municipio,melhor_candidato,score,score_nome,score_endereco,margem,motivo
"50026828","ESCOLA MUNICIPAL 03 DE DEZEMBRO","Nioaque","ESCOLA MUNICIPAL 3 DE DEZEMBRO E ESTADUAL UIRAPURU","0.5431","0.7059","0.4054","0.1394","abaixo do limiar ou ambíguo"
"50031953","CASA DA CRIANCA ANDRE LUIZ","Nioaque","","","","","","sem candidato nominal"
"50032569","EE UIRAPURU","Nioaque","ESCOLA MUNICIPAL 3 DE DEZEMBRO E ESTADUAL UIRAPURU","0.4513","0.6364","0.3529","0.4513","conflito de dependência administrativa"
"50033557","ESCOLA ESPECIALIZADA JOSE CORRAL MARTINS","Nioaque","SECRETARIA DA ESCOLA INFANTIL MUNICIPAL","0.4136","0.4928","0.4156","0.0113","abaixo do limiar ou ambíguo"
"50034596","ESCOLA INFANTIL CANTINHO DO SABER LTDA","Nioaque","","","","","","sem candidato nominal"
"50062816","CENTRO EDUCACIONAL INFANTIL MINA DO SABER","Nioaque","","","","","","sem candidato nominal"
"50018256","ESCOLA MUNICIPAL LEONOR DE SOUZA ARAUJO","Nova Alvorada do Sul","ESCOLA MUNICIPAL ADENISALDO ARAUJO REZEN","0.5074","0.6176","0.4786","0.1644","abaixo do limiar ou ambíguo"
"50023543","ESCOLA MUNICIPAL AGRICOLA JOAQUIM DOMINGOS","Nova Alvorada do Sul","E M EXTENSAO JOAQUIM DOMINGOS E UNIME","0.4483","0.5714","0.3614","0.0516","abaixo do limiar ou ambíguo"
"50031414","ESCOLA MUNICIPAL PROFESSOR JOSE HENRIQUE DIMICIANO PORTO","Nova Alvorada do Sul","ESCOLA PROF JOSE HENRIQUE D PORTO","0.6677","0.8","0.6604","0.6677","abaixo do limiar ou ambíguo"
"50031791","CENTRO MUNICIPAL DE EDUCACAO INFANTIL IZAURA FLAVIO MARQUES - POLO","Nova Alvorada do Sul","CENTRO MUNICIPAL DE EDUCACAO INFANTIL","0.5502","0.7356","0.3619","0.0633","abaixo do limiar ou ambíguo"
"50033174","ESCOLA DE EDUCACAO ALVORADA","Nova Alvorada do Sul","","","","","","sem candidato nominal"
"50034987","ESCOLA MUNICIPAL PROFESSORA LEIA DE SOUZA SILVA","Nova Alvorada do Sul","ESCOLA MUNICIPAL JANET ALVES ZIELASKO G","0.399","0.5075","0.3243","0.0206","abaixo do limiar ou ambíguo"
"50035029","CENTRO DE EDUCACAO ESPECIAL VANDEIR JOSE GONCALVES - VANDINHO","Nova Alvorada do Sul","","","","","","sem candidato nominal"
"50072935","APAE DE NOVA ALVORADA DO SUL","Nova Alvorada do Sul","","","","","","sem candidato nominal"
"50013351","ESCOLA ADVENTISTA DE NOVA ANDRADINA","Nova Andradina","IPED NOVA ANDRADINA","0.5026","0.6316","0.427","0.0086","abaixo do limiar ou ambíguo"
"50013475","COLEGIO OBJETIVO ANAEC - NOVA ANDRADINA","Nova Andradina","IPED NOVA ANDRADINA","0.4471","0.5854","0.3238","0.0259","abaixo do limiar ou ambíguo"
"50013491","EM MACHADO DE ASSIS - POLO","Nova Andradina","","","","","","sem candidato nominal"
"50027611","CEI - PAULO SILVEIRA FATTOR","Nova Andradina","","","","","","sem candidato nominal"
"50028081","CENTRO DE EDUCACAO INFANTIL- SHALOM","Nova Andradina","CENTRO DE EDUCACAO INFANTIL","0.6467","0.8846","0.3778","0.0449","abaixo do limiar ou ambíguo"
"50029207","CENTRO DE RECREACAO E ENSINO INFANTIL LUCIANE FERNANDES ABELHA","Nova Andradina","CRECHE LUCIANE F ABELHA","0.4826","0.48","0.7114","0.0911","abaixo do limiar ou ambíguo"
"50030736","CEINF ODILA CARRARA","Nova Andradina","","","","","","sem candidato nominal"
"50031430","EM ANTONIO JOAQUIM DE MOURA ANDRADE","Nova Andradina","ESCOLA MUNICIPAL JOAQUIM DE MOURA ANDRADE","0.6231","0.8372","0.4","0.1993","abaixo do limiar ou ambíguo"
"50031546","AGENCIA SENAI NOVA ANDRADINA","Nova Andradina","IPED NOVA ANDRADINA","0.4823","0.6","0.4242","0.0264","abaixo do limiar ou ambíguo"
"50032437","CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO - CAEE - NOVA ANDRADINA","Nova Andradina","IPED NOVA ANDRADINA","0.3745","0.4643","0.3333","0.3745","abaixo do limiar ou ambíguo"
"50034200","CEINF - PROFª MARLY MORETTI HERNANDES","Nova Andradina","","","","","","sem candidato nominal"
"50035339","ESCOLA IPED MS - NOVA","Nova Andradina","IPED NOVA ANDRADINA","0.3921","0.5","0.3158","0.0212","abaixo do limiar ou ambíguo"
"50036246","EM MARIA IMACULADA FERNANDES","Nova Andradina","","","","","","sem candidato nominal"
"50059971","CEINF PROF LUIZ CARLOS SAMPAIO","Nova Andradina","ESC EST LUIZ CARLOS SAMPAIO","0.537","0.7234","0.3404","0.537","abaixo do limiar ou ambíguo"
"50062808","CEINF - PEQUENO PRINCIPE","Nova Andradina","PEQUENO PRINCIPE","0.6198","0.8485","0.3604","0.6198","abaixo do limiar ou ambíguo"
"50072900","IFMS - CAMPUS NOVA ANDRADINA","Nova Andradina","IPED NOVA ANDRADINA","0.4844","0.6316","0.3571","0.0615","abaixo do limiar ou ambíguo"
"50023624","EM PROF DELMIRO SALVIONE BONIN","Nova Andradina","DELMIRO SALVIONE BINNIM","0.5678","0.7907","0.2982","0.0337","abaixo do limiar ou ambíguo"
"50031449","CEINF - MONTEIRO LOBATO","Nova Andradina","","","","","","sem candidato nominal"
"50082884","EE PROF LUIZ CARLOS SAMPAIO","Nova Andradina","ESC EST LUIZ CARLOS SAMPAIO","0.5685","0.7619","0.3696","0.5685","abaixo do limiar ou ambíguo"
"50021494","ESCOLA MUNICIPAL PROFESSOR EDUARDO PEREIRA CALADO","Novo Horizonte do Sul","ESCOLA MUNICIPAL","0.5229","0.5385","0.7273","0.5229","abaixo do limiar ou ambíguo"
"50027026","E DE ED ESPECIAL RENASCER","Novo Horizonte do Sul","","","","","","sem candidato nominal"
"50032461","CAEE - NOVO HORIZONTE DO SUL","Novo Horizonte do Sul","","","","","","sem candidato nominal"
"50010972","EE VER KENDI NAKAI","Paraíso das Águas","ESCOLA ESTADUAL VEREADOR KENDI NAKAI","0.6183","0.8276","0.4045","0.6183","abaixo do limiar ou ambíguo"
"50035410","ESCOLA MUNICIPAL KOU TAKAHASHI","Paraíso das Águas","ESCOLA MUNICIPAL","0.5091","0.7","0.2889","0.0001","abaixo do limiar ou ambíguo"
"50011316","ESCOLA CAMINHO LTDA EPP","Paranaíba","ESCOLA CAMINHO","0.6891","0.7742","0.8041","0.3089","abaixo do limiar ou ambíguo"
"50011324","CENTRO EDUCACIONAL PARANAIBENSE CEP","Paranaíba","CENTRO EDUCACIONAL INFANTIL","0.4644","0.6182","0.3119","0.4644","abaixo do limiar ou ambíguo"
"50011448","EM MAJOR FRANCISCO FAUSTINO DIAS","Paranaíba","","","","","","sem candidato nominal"
"50011464","EM PROFª LIDUVINA MOTTA CAMARGO","Paranaíba","EE LIDUVINA","0.3935","0.4667","0.5354","0.3935","conflito de dependência administrativa"
"50022709","CEINF DONA MARLENE MARIA DE SENE SOUZA - POLO","Paranaíba","","","","","","sem candidato nominal"
"50025678","EM PROF IGNACIO JOSE DA SILVA","Paranaíba","","","","","","sem candidato nominal"
"50029215","CEI - LOURDES MORAIS PAIVA","Paranaíba","","","","","","sem candidato nominal"
"50030728","CEI - LAR TERESA SPINELLI","Paranaíba","LAR TERESA SPINELI ENSINO PRIVADO","0.6495","0.7895","0.6154","0.1181","abaixo do limiar ou ambíguo"
"50030949","CEINF ANTONIA MAINARDI OVIDIO","Paranaíba","CEIF ANTONIA M OVIDIO","0.6363","0.7143","0.7442","0.6363","abaixo do limiar ou ambíguo"
"50032119","CEINF CAIO SILVA BEVILAQUA - POLO","Paranaíba","","","","","","sem candidato nominal"
"50032429","CAEE - UNIDADE EDUCACIONAL APAEANA PARA APRENDIZAGENS E DESENVOLVIMENTO","Paranaíba","","","","","","sem candidato nominal"
"50033999","CEINF IRMA DULCE","Paranaíba","","","","","","sem candidato nominal"
"50034510","CENTRO DE EDUCACAO INFANTIL LAR TERESA SPINELLI","Paranaíba","LAR TERESA SPINELI ENSINO PRIVADO","0.571","0.6522","0.641","0.1158","abaixo do limiar ou ambíguo"
"50035215","EM PROFª CLOTILDE BOLMICAR DE FREITAS","Paranaíba","","","","","","sem candidato nominal"
"50035932","CEINF FRANCISCA FERREIRA DA SILVA - DONA CHIQUINHA","Paranaíba","","","","","","sem candidato nominal"
"50036327","CEI PROFESSOR OSMAR HIGINO BARRETO","Paranaíba","","","","","","sem candidato nominal"
"50022717","EM CAPITAO ALTINO LOPES","Paranaíba","","","","","","sem candidato nominal"
"50021621","ESCOLA MUNICIPAL POLO SAO JOSE","Paranhos","ESCOLA MUNICIPAL MARCOS FREIRE","0.5311","0.5882","0.64","0.0346","abaixo do limiar ou ambíguo"
"50022628","CENTRO DE EDUCACAO INFANTIL MAMAE ANTONIA","Paranhos","CENTRO EDUCACIONAL MAMAE ANTONIA","0.5615","0.7333","0.411","0.5615","abaixo do limiar ou ambíguo"
"50028600","CENTRO DE EDUCACAO INFANTIL CRIANCA FELIZ","Paranhos","CENTRO EDUCACIONAL CRIANCA FELIZ","0.6627","0.7333","0.8","0.6627","abaixo do limiar ou ambíguo"
"50031210","CENTRO DE EDUCACAO INFANTIL MONTEIRO LOBATO","Paranhos","CEI MONTEIRO LOBATO","0.5305","0.7647","0.2169","0.1874","abaixo do limiar ou ambíguo"
"50031562","ESCOLA DE EDUCACAO ESPECIAL DIFERENCAS QUE NOS UNEM","Paranhos","","","","","","sem candidato nominal"
"50032372","CAEE - SOMOS TODOS IGUAIS NA DIFERENCA","Paranhos","","","","","","sem candidato nominal"
"50024400","CENTRO DE EDUCACAO ESPECIAL BEM-ME-QUER","Pedro Gomes","","","","","","sem candidato nominal"
"50018310","CENTRO DE EDUC ESPECIAL DE PONTA PORA","Ponta Porã","CENTRO EDUCACAO ESPECIAL APAE","0.5582","0.5818","0.7595","0.1615","abaixo do limiar ou ambíguo"
"50018337","ELITE PONTA PORA","Ponta Porã","ESCOLA ELITE","0.4485","0.4706","0.6027","0.017","abaixo do limiar ou ambíguo"
"50018353","EE DEP FERNANDO C CAPIBERIBE SALDANHA","Ponta Porã","ESCOLA ESTADUAL FERNANDO CC SALDANHA","0.5704","0.6667","0.6042","0.1314","abaixo do limiar ou ambíguo"
"50018418","EE PROFª GENI MARQUES MAGALHAES","Ponta Porã","ESCOLA ESTADUAL GENI MARQUES","0.5652","0.6061","0.7287","0.5652","abaixo do limiar ou ambíguo"
"50018426","ESCOLA MUNICIPAL LIONS CLUBE DE PONTA PORA","Ponta Porã","ESCOLA ESTADUAL LIONS CLUBE","0.5592","0.6667","0.6957","0.1203","conflito de dependência administrativa"
"50018469","EE CORONEL RAMIRO NORONHA","Ponta Porã","ESCOLA NORONHA","0.4722","0.5714","0.4533","0.4722","abaixo do limiar ou ambíguo"
"50018477","ESCOLA POLO MUNICIPAL IGNES ANDREAZZA","Ponta Porã","ESCOLA MUNICIPAL","0.5717","0.5652","0.8511","0.1377","abaixo do limiar ou ambíguo"
"50018531","ESCOLA POLO MUNICIPAL MARCONDES FERNANDES PEREIRA","Ponta Porã","ESCOLA MUNICIPAL ORLANDO MENDES","0.4108","0.5714","0.2174","0.0256","abaixo do limiar ou ambíguo"
"50018540","ESCOLA MUNICIPAL MARIA LIGIA BORGES GARCIA","Ponta Porã","ESCOLA MUNICIPAL","0.4378","0.56","0.3486","0.0164","abaixo do limiar ou ambíguo"
"50018566","ESCOLA MUNICIPAL PREFEITO ADE MARQUES","Ponta Porã","ESCOLA ADE MARQUES","0.4798","0.6923","0.1944","0.0078","abaixo do limiar ou ambíguo"
"50018639","ESCOLA MUNICIPAL COOPORA","Ponta Porã","ESCOLA MUNICIPAL","0.5629","0.8","0.2574","0.0005","abaixo do limiar ou ambíguo"
"50018663","ESCOLA MAGSUL","Ponta Porã","ESCOLA","0.5052","0.625","0.4528","0.0087","abaixo do limiar ou ambíguo"
"50018671","ESCOLA MAPPE - MODERNA ASSOCIACAO PONTAPORANENSE DE ENSINO","Ponta Porã","","","","","","sem candidato nominal"
"50018680","CEPS - CENTRO EDUC PERPETUO SOCORRO","Ponta Porã","","","","","","sem candidato nominal"
"50019058","EM INDIGENA JATAYVARY","Ponta Porã","","","","","","sem candidato nominal"
"50023608","CEINF PROF EURORA RAMOS DE OLIVEIRA","Ponta Porã","","","","","","sem candidato nominal"
"50024736","ESCOLA DE RECREACAO E ENSINO FUNDAMENTAL NOVA EPOCA","Ponta Porã","ESCOLA NOVA EPOCA","0.5338","0.5","0.8608","0.154","abaixo do limiar ou ambíguo"
"50027450","CEINF PROF JOANA FERREIRA FRANCO BARRIOS","Ponta Porã","CEINF ANCELMO SOARES FRANCA","0.3224","0.4561","0.1522","0.3224","abaixo do limiar ou ambíguo"
"50028405","CEINF PROF CONRADO CANTEIRO","Ponta Porã","CEINF PROF MARIO OCARIS ROSSI","0.356","0.4681","0.2532","0.356","abaixo do limiar ou ambíguo"
"50028456","EE PROF JOSE EDSON DOMINGOS DOS SANTOS","Ponta Porã","ESCOLA ESTADUAL JOSE EDSON DOMINGOS DOS","0.6313","0.7619","0.6111","0.6313","abaixo do limiar ou ambíguo"
"50029339","CEMA - CENTRO EDUCATIVO DE ED INF E ENS FUND MIGUEL ANGELO","Ponta Porã","CENTRO DE EDUCACAO INFANTIL","0.3824","0.5","0.2785","0.3824","abaixo do limiar ou ambíguo"
"50029347","ESCOLA MAGSUL JUNIOR DE ENSINO FUNDAMENTAL","Ponta Porã","ESCOLA PUBLICA DE NIVEL FUNDAMENTAL","0.4165","0.5946","0.1839","0.4165","abaixo do limiar ou ambíguo"
"50029355","ESCOLA MAGSUL JUNIOR DE EI","Ponta Porã","ESCOLA MUNICIPAL","0.3618","0.4571","0.3014","0.0103","abaixo do limiar ou ambíguo"
"50029860","ESCOLA MUNICIPAL RURAL NOVA CONQUISTA","Ponta Porã","NOVA ITAMARATI RURAL NOVA CONQUISTA","0.5207","0.6667","0.413","0.0526","abaixo do limiar ou ambíguo"
"50029878","EM INDIGENA MITA TAVYTERA","Ponta Porã","","","","","","sem candidato nominal"
"50030183","CEINF PROF EUGENIA GONZALES DA SILVA","Ponta Porã","","","","","","sem candidato nominal"
"50030647","ESCOLA POLO MUNICIPAL RURAL JUVENAL FROES","Ponta Porã","ESCOLA MUNICIPAL","0.4836","0.5306","0.5946","0.0539","abaixo do limiar ou ambíguo"
"50030922","ESCOLA POLO MUN PROF DORA LANDOLFI","Ponta Porã","ESCOLA MUNICIPAL PROFESSORA DORA LANDOLFI","0.6884","0.9091","0.48","0.3063","abaixo do limiar ou ambíguo"
"50031309","CEINF ELPIDIO PELUFFO","Ponta Porã","","","","","","sem candidato nominal"
"50033190","ESCOLA MUNICIPAL PROF ZAIRA PORTELA","Ponta Porã","ESCOLA ZAIRA PORTELA","0.6164","0.8462","0.3529","0.1219","abaixo do limiar ou ambíguo"
"50034057","ESCOLA MUNICIPAL PREFEITO ORLANDO MENDES GONCALVES","Ponta Porã","ESCOLA MUNICIPAL ORLANDO MENDES","0.6376","0.7324","0.7059","0.1729","abaixo do limiar ou ambíguo"
"50034065","CENTRO CULTURAL DONA IRACEMA","Ponta Porã","","","","","","sem candidato nominal"
"50034316","SENAC PONTA PORA","Ponta Porã","FAP FACULDADE DE PONTA PORA","0.4593","0.5455","0.4658","0.4593","abaixo do limiar ou ambíguo"
"50035304","CEINF PROFESSORA CAROLINA NACHREINER PELUSCH","Ponta Porã","","","","","","sem candidato nominal"
"50036610","CEINF PROFª MARIA APARECIDA DORNELES","Ponta Porã","CEINF PROF MARIO OCARIS ROSSI","0.4815","0.4815","0","0.4815","abaixo do limiar ou ambíguo"
"50019120","EE PEDRO AFONSO PEREIRA GOLDONI","Ponta Porã","ESCOLA MUNICIPAL PEDRO AFONSO","0.4726","0.5882","0.5495","0.4726","conflito de dependência administrativa"
"50082850","IFMS - CAMPUS PONTA PORA","Ponta Porã","","","","","","sem candidato nominal"
"50000764","EM INDIGENA EJIWAJEGI - POLO E EXTENSOES","Porto Murtinho","ESCOLA EJIWAJEGUI POLO EXTENSAO","0.6305","0.7647","0.6015","0.6305","abaixo do limiar ou ambíguo"
"50000802","E M CIVICO-MILITAR CLAUDIO DE OLIVEIRA","Porto Murtinho","","","","","","sem candidato nominal"
"50000829","EMR DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL BONIFACIO GOMES POLO E EXTENSOES","Porto Murtinho","EMR BONIFACIO GOMES POLO","0.4494","0.5","0.5361","0.0271","abaixo do limiar ou ambíguo"
"50028944","EMEI PRIMEIROS PASSOS","Porto Murtinho","","","","","","sem candidato nominal"
