referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
9,"Território, municípios e população",localidades_populacoes,Localidades e populações consolidadas,territorio,regra_curada,alta,https://cidades.ibge.gov.br
9,"Território, municípios e população",limite_operacional_ipg_fase3,Limite operacional de contingência da Fase 3.2,territorio,regra_curada,alta,https://cidades.ibge.gov.br
10,"Território, municípios e população",municipios_sedes,Sedes municipais e população estimada 2025,territorio,regra_curada,alta,https://servicodados.ibge.gov.br/api/docs/localidades
10,"Território, municípios e população",localidades_ibge_completas,Localidades completas do IBGE,territorio,regra_curada,alta,https://servicodados.ibge.gov.br/api/docs/localidades
10,"Território, municípios e população",limite_operacional_ipg_fase3,Limite operacional de contingência da Fase 3.2,territorio,regra_curada,alta,https://servicodados.ibge.gov.br/api/docs/localidades
11,"Território, municípios e população",localidades_populacoes,Localidades e populações consolidadas,territorio,regra_curada,alta,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
11,"Território, municípios e população",localidades_ibge_completas,Localidades completas do IBGE,territorio,regra_curada,alta,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
12,"Território, municípios e população",localidades_populacoes,Localidades e populações consolidadas,territorio,regra_curada,alta,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip
12,"Território, municípios e população",localidades_ibge_completas,Localidades completas do IBGE,territorio,url_exata,alta,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip
13,"Território, municípios e população",municipios_limites,Limites municipais,territorio,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estado_de_MS_Politico/MapServer/0
14,"Território, municípios e população",municipios_sedes,Sedes municipais e população estimada 2025,territorio,regra_curada,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0
